2026-01-08 22:43:15,831 INFO    StreamThr :60334 [internal.py:wandb_internal():85] W&B internal server running at pid: 60334, started at: 2026-01-08 22:43:15.830799
2026-01-08 22:43:15,833 DEBUG   HandlerThread:60334 [handler.py:handle_request():158] handle_request: status
2026-01-08 22:43:15,836 INFO    WriterThread:60334 [datastore.py:open_for_write():87] open: /root/libimmortal/wandb/run-20260108_224315-z1bas3td/run-z1bas3td.wandb
2026-01-08 22:43:15,836 DEBUG   SenderThread:60334 [sender.py:send():379] send: header
2026-01-08 22:43:15,840 DEBUG   SenderThread:60334 [sender.py:send():379] send: run
2026-01-08 22:43:16,550 INFO    SenderThread:60334 [dir_watcher.py:__init__():211] watching files in: /root/libimmortal/wandb/run-20260108_224315-z1bas3td/files
2026-01-08 22:43:16,550 INFO    SenderThread:60334 [sender.py:_start_run_threads():1188] run started: z1bas3td with start time 1767879795.828598
2026-01-08 22:43:16,558 DEBUG   HandlerThread:60334 [handler.py:handle_request():158] handle_request: check_version
2026-01-08 22:43:16,559 DEBUG   SenderThread:60334 [sender.py:send_request():406] send_request: check_version
2026-01-08 22:43:16,765 DEBUG   HandlerThread:60334 [handler.py:handle_request():158] handle_request: run_start
2026-01-08 22:43:16,778 DEBUG   HandlerThread:60334 [system_info.py:__init__():26] System info init
2026-01-08 22:43:16,778 DEBUG   HandlerThread:60334 [system_info.py:__init__():41] System info init done
2026-01-08 22:43:16,778 INFO    HandlerThread:60334 [system_monitor.py:start():194] Starting system monitor
2026-01-08 22:43:16,778 INFO    SystemMonitor:60334 [system_monitor.py:_start():158] Starting system asset monitoring threads
2026-01-08 22:43:16,779 INFO    HandlerThread:60334 [system_monitor.py:probe():214] Collecting system info
2026-01-08 22:43:16,779 INFO    SystemMonitor:60334 [interfaces.py:start():188] Started cpu monitoring
2026-01-08 22:43:16,781 INFO    SystemMonitor:60334 [interfaces.py:start():188] Started disk monitoring
2026-01-08 22:43:16,781 INFO    SystemMonitor:60334 [interfaces.py:start():188] Started gpu monitoring
2026-01-08 22:43:16,782 INFO    SystemMonitor:60334 [interfaces.py:start():188] Started memory monitoring
2026-01-08 22:43:16,785 INFO    SystemMonitor:60334 [interfaces.py:start():188] Started network monitoring
2026-01-08 22:43:16,808 DEBUG   HandlerThread:60334 [system_info.py:probe():152] Probing system
2026-01-08 22:43:16,809 DEBUG   HandlerThread:60334 [system_info.py:_probe_git():137] Probing git
2026-01-08 22:43:16,820 DEBUG   HandlerThread:60334 [system_info.py:_probe_git():145] Probing git done
2026-01-08 22:43:16,820 DEBUG   HandlerThread:60334 [system_info.py:probe():200] Probing system done
