2026-01-06 10:42:50,676 INFO    StreamThr :1645869 [internal.py:wandb_internal():85] W&B internal server running at pid: 1645869, started at: 2026-01-06 10:42:50.674648
2026-01-06 10:42:50,678 DEBUG   HandlerThread:1645869 [handler.py:handle_request():158] handle_request: status
2026-01-06 10:42:50,681 INFO    WriterThread:1645869 [datastore.py:open_for_write():87] open: /root/libimmortal/wandb/run-20260106_104250-fkijd28b/run-fkijd28b.wandb
2026-01-06 10:42:50,684 DEBUG   SenderThread:1645869 [sender.py:send():379] send: header
2026-01-06 10:42:50,684 DEBUG   SenderThread:1645869 [sender.py:send():379] send: run
2026-01-06 10:42:51,421 INFO    SenderThread:1645869 [dir_watcher.py:__init__():211] watching files in: /root/libimmortal/wandb/run-20260106_104250-fkijd28b/files
2026-01-06 10:42:51,422 INFO    SenderThread:1645869 [sender.py:_start_run_threads():1188] run started: fkijd28b with start time 1767663770.672942
2026-01-06 10:42:51,433 DEBUG   HandlerThread:1645869 [handler.py:handle_request():158] handle_request: check_version
2026-01-06 10:42:51,434 DEBUG   SenderThread:1645869 [sender.py:send_request():406] send_request: check_version
2026-01-06 10:42:51,651 DEBUG   HandlerThread:1645869 [handler.py:handle_request():158] handle_request: run_start
2026-01-06 10:42:51,665 DEBUG   HandlerThread:1645869 [system_info.py:__init__():26] System info init
2026-01-06 10:42:51,665 DEBUG   HandlerThread:1645869 [system_info.py:__init__():41] System info init done
2026-01-06 10:42:51,665 INFO    HandlerThread:1645869 [system_monitor.py:start():194] Starting system monitor
2026-01-06 10:42:51,665 INFO    SystemMonitor:1645869 [system_monitor.py:_start():158] Starting system asset monitoring threads
2026-01-06 10:42:51,666 INFO    HandlerThread:1645869 [system_monitor.py:probe():214] Collecting system info
2026-01-06 10:42:51,667 INFO    SystemMonitor:1645869 [interfaces.py:start():188] Started cpu monitoring
2026-01-06 10:42:51,668 INFO    SystemMonitor:1645869 [interfaces.py:start():188] Started disk monitoring
2026-01-06 10:42:51,669 INFO    SystemMonitor:1645869 [interfaces.py:start():188] Started gpu monitoring
2026-01-06 10:42:51,670 INFO    SystemMonitor:1645869 [interfaces.py:start():188] Started memory monitoring
2026-01-06 10:42:51,672 INFO    SystemMonitor:1645869 [interfaces.py:start():188] Started network monitoring
2026-01-06 10:42:51,697 DEBUG   HandlerThread:1645869 [system_info.py:probe():152] Probing system
2026-01-06 10:42:51,699 DEBUG   HandlerThread:1645869 [system_info.py:_probe_git():137] Probing git
2026-01-06 10:42:51,707 DEBUG   HandlerThread:1645869 [system_info.py:_probe_git():145] Probing git done
2026-01-06 10:42:51,707 DEBUG   HandlerThread:1645869 [system_info.py:probe():200] Probing system done
